VoiceId: en-US-alina, Name: Alina (F), Locale: en-US
VoiceId: en-UK-hazel, Name: Hazel (F), Locale: en-UK
VoiceId: en-US-cooper, Name: Cooper (M), Locale: en-US
VoiceId: en-US-imani, Name: Imani (F), Locale: en-US
VoiceId: it-IT-giorgio, Name: Giorgio (M), Locale: it-IT
VoiceId: bn-IN-arnab, Name: Arnab (M), Locale: bn-IN
VoiceId: en-US-wayne, Name: Wayne (M), Locale: en-US
VoiceId: en-US-daniel, Name: Daniel (M), Locale: en-US
VoiceId: hr-HR-marija, Name: Marija (F), Locale: hr-HR
VoiceId: bn-IN-anwesha, Name: Anwesha (F), Locale: bn-IN
VoiceId: es-MX-alejandro, Name: Alejandro (M), Locale: es-MX
VoiceId: en-AU-joyce, Name: Joyce (F), Locale: en-AU
VoiceId: en-US-zion, Name: Zion (M), Locale: en-US
VoiceId: en-IN-isha, Name: Isha (F), Locale: en-IN
VoiceId: en-US-riley, Name: Riley (F), Locale: en-US
VoiceId: ko-KR-hwan, Name: Hwan (M), Locale: ko-KR
VoiceId: fr-FR-adélie, Name: Adélie (F), Locale: fr-FR
VoiceId: en-US-carter, Name: Carter (M), Locale: en-US
VoiceId: ta-IN-sarvesh, Name: Sarvesh (M), Locale: ta-IN
VoiceId: en-UK-gabriel, Name: Gabriel (M), Locale: en-UK
VoiceId: en-UK-juliet, Name: Juliet (F), Locale: en-UK
VoiceId: en-IN-arohi, Name: Arohi (F), Locale: en-IN
VoiceId: fr-FR-maxime, Name: Maxime (M), Locale: fr-FR
VoiceId: de-DE-josephine, Name: Josephine (F), Locale: de-DE
VoiceId: en-UK-hugo, Name: Hugo (M), Locale: en-UK
VoiceId: en-US-samantha, Name: Samantha (F), Locale: en-US
VoiceId: de-DE-erna, Name: Erna (F), Locale: de-DE
VoiceId: zh-CN-baolin, Name: Baolin (F), Locale: zh-CN
VoiceId: pt-BR-isadora, Name: Isadora (F), Locale: pt-BR
VoiceId: it-IT-vincenzo, Name: Vincenzo (M), Locale: it-IT
VoiceId: en-US-terrell, Name: Terrell (M), Locale: en-US
VoiceId: en-US-denzel, Name: Denzel (M), Locale: en-US
VoiceId: en-UK-heidi, Name: Heidi (F), Locale: en-UK
VoiceId: en-US-miles, Name: Miles (M), Locale: en-US
VoiceId: en-US-abigail, Name: Abigail (F), Locale: en-US
VoiceId: fr-FR-justine, Name: Justine (F), Locale: fr-FR
VoiceId: it-IT-greta, Name: Greta (F), Locale: it-IT
